"";"openalex_id";"journal_name";"publication_year";"osf_links";"git_links";"has_osf";"has_git";"has_any_link";"all_osf_links_clean";"all_git_links_clean";"country";"author";"title";"keywords";"method_quali";"open_answers";"interview";"observation";"documents";"method_quanti";"one_m";"multiple_m";"quasiexperiment";"experiment";"intervention";"primary_data";"secondary_data";"review";"method_other";"open_data";"open_code";"open_material";"open_analysis";"prerig";"notes2"
"31";"W4225611662";"AERA Open";2022;"osf.io/s29a8";NA;TRUE;FALSE;TRUE;"osf.io/s29a8";NA;"USA";"Moeller, J.; von Keyserlingk, L.; Spengler, M.; Gaspard, H.; Lee, H. R.; Yamaguchi-Pedroza, K.; Yu, R.; Fischer, C.; Arum, R.";"Risk and Protective Factors of College Students’ Psychological Well-Being During the COVID-19 Pandemic: Emotional Stability, Mental Health, and Household Resources";"COVID-19 pandemic, college students, psychological well-being, emotions, experience sampling method, personality, intraindividual trajectories";"0";"0";"0";0;"0";"1";"0";"1";1;0;0;0;"1";0;"";"0";"0";"0";"1";"0";"mplus_outputs"
"32";"W4403576529";"Cogent Education";2024;"osf.io/q7bwd";NA;TRUE;FALSE;TRUE;"osf.io/q7bwd";NA;"Netherlands";"Cramer, J.; Yazilitas, D.; Bruynzeel, A.; Romp, S.; Smeets, I.; De Bruyckere, P.";"The effect of tutoring primary school pupils by university students on STEM interest: a pre-registered randomised controlled trial";"STEM; tutoring; diversity; socioeconomic status; primary education";"0";"0";"0";0;"0";"1";"0";"1";0;1;1;1;"0";0;"";"0";"0";"0";"0";"1";"no_files"
"33";"W4360619301";"Frontiers in Education";2023;"OSF.IO/EA3PQ";NA;TRUE;FALSE;TRUE;"osf.io/ea3pq";NA;"Spain";"Quintana-Ordorika, A.; Camino-Esturo, E.; Portillo-Berasaluce, J.; Garay-Ruiz, U.";"Integrating COIL in teacher training: An estimation of learners´ motivational attitudes";"learners´ motivation; teacher training education; international education; ARCS; IMMS";"0";"0";"0";0;"0";"1";"1";"0";1;0;1;1;"0";0;"";"X";"X";"X";"X";"1";"not_open"
"34";"W4393987203";"Frontiers in Education";2024;"OSF.IO/5NXGY";NA;TRUE;FALSE;TRUE;"osf.io/5nxgy";NA;NA;"Kager, K.; Kalinowski, E.; Jurczok, A.; Vock, M.";"A systematic review of transparency in Lesson Study research: how do we report on the observation and reflection stages?";"professional development; Lesson Study; research transparency; observation; reflection; systematic review";"1";"0";"0";0;"1";"1";"0";"0";0;0;0;0;"1";1;"";"0";"0";"0";"0";"1";"not_open"
"35";"W4414351282";"Education Sciences";2025;"OSF.IO/H6B4P";NA;TRUE;FALSE;TRUE;"osf.io/h6b4p";NA;NA;"Lima Souza, L.; Ozorio Dutra, S. V.; Alves da Silva Filho, J. A.; Ferreira Silva, L.; Gomes Mourão, V.; Vieira Dantas, D.; Assis Neves Dantas, R.; Barros Ribeiro, K. R.";"Virtual Reality in Critical Care Nursing Education: A Scoping Review";"nursing care; intensive care units; virtual reality; technology-enhanced education; nursing education";"1";"0";"0";0;"0";"1";"0";"0";0;0;0;0;"1";1;"";"0";"0";"0";"0";"1";"not_open"
"36";"W4386099131";"Education Sciences";2023;"osf.io/mv45a";NA;TRUE;FALSE;TRUE;"osf.io/mv45a";NA;NA;"Alvarez-Sández, D.; Velázquez-Victorica, K.; Mungaray-Moctezuma, A.; López-Guerrero, A.";"Administrative Processes Efficiency Measurement in Higher Education Institutions: A Scoping Review";"efficiency; quality; higher education; administrative processes";"0";"0";"0";0;"0";"0";"0";"0";0;0;0;0;"1";1;"";"0";"0";"0";"0";"1";"not_open"
"37";"W4367624532";"Education Sciences";2023;"OSF.IO/K8X2S";NA;TRUE;FALSE;TRUE;"osf.io/k8x2s";NA;NA;"Rusconi, L.; Squillaci, M.";"Effects of a Universal Design for Learning (UDL) Training Course on the Development Teachers’ Competences: A Systematic Review";"Universal Design for Learning; UDL; Profile of Inclusive Teachers; school accessibility; neurosciences; review";"0";"0";"0";0;"0";"0";"0";"0";0;0;0;0;"1";1;"";"0";"0";"0";"0";"1";"not_open"
"38";"W4303946503";"Education Sciences";2022;"osf.io/fhks9";NA;TRUE;FALSE;TRUE;"osf.io/fhks9";NA;NA;"Bakken, R. K.; Næss, K.-A. B.; Garrels, V.; Hagen, Å. M.";"Single-Case Writing Interventions for Students with Disorders of Intellectual Development: A Systematic Review and Meta-Analysis";"writing; intellectual disability; single-case experimental design; systematic review; meta-analysis";"0";"0";"0";0;"0";"0";"0";"0";0;0;0;0;"1";1;"";"0";"0";"0";"0";"1";"not_open"
"39";"W4406121368";"International Journal of Educational Technology in Higher Education";2025;"osf.io/fgw3t";NA;TRUE;FALSE;TRUE;"osf.io/fgw3t";NA;"Hongkong";"Zhong, Y.; Fryer, L. K.; Zheng, S.; Shum, A.; Chu, S. K. W.";"From Gaming to Reality: Effectiveness of Skills Transfer from Competitive Sandbox Gaming Environment to Near and Far Contexts";"4Cs skills; esports; sandbox game; competitive gaming environment; skills transfer; experimental design";"1";"0";"1";1;"0";"1";"0";"1";0;1;1;1;"0";0;"";"0";"0";"0";"0";"";"nur_paper"
"40";"W7124768568";"Cogent Education";2026;"osf.io/jkzp7/||osf.io/jkzp7/";NA;TRUE;FALSE;TRUE;"";"";"Germany";"Landberg; M.; Langen; R.";"A qualitative follow-up study on academic success of non-traditional students";"non-traditional students; academic success; higher education; qualitative follow-up; interviews; thematic analysis";"1";"0";"1";0;"0";"0";"0";"1";0;0;0;1;"0";0;NA;"0";"0";"0";"1";"";"quali_topic_ana"
"41";"W4381802964";"International Journal of Educational Technology in Higher Education";2023;NA;"https://github.com/PhilippeChan/VRLaboSafeGameDemo";FALSE;TRUE;TRUE;NA;"github.com/philippechan/vrlabosafegamedemo";"UK";"Udeozor, C.; Chan, P.; Russo Abegão, F.; Glassey, J.";"Game-based assessment framework for virtual reality, augmented reality and digital game-based learning";"Assessment; Immersive learning; Virtual reality; Assessment design";"0";"0";"0";0;"0";"1";"0";"1";0;0;1;1;"0";0;"";"0";"0";"0";"0";"";"raus_demoversion"
"42";"W4400577651";"Education Sciences";2024;NA;"https://github.com/fxsjy/jieba";FALSE;TRUE;TRUE;NA;"github.com/fxsjy/jieba";"Taiwan";"Hsu, Y.-C.";"Mapping the Landscape of Data Science Education in Higher General Education in Taiwan: A Comprehensive Syllabi Analysis";"curriculum analysis; data science literacy; bibliometric; text mining";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;1;"1";1;"bibliometric";"X";"X";"X";"X";"X";"raus_externe_software"
"43";"W3118848299";"Frontiers in Education";2021;"osf.io/sfcym";NA;TRUE;FALSE;TRUE;"osf.io/sfcym";NA;"USA";"Renström, E. A.; Gustafsson Sendén, M.; Lindqvist, A.";"Gender Stereotypes in Student Evaluations of Teaching";"student evaluations of teaching (SET); gender stereotypes; gender bias; social psychology; experiment";"0";"0";"0";0;"0";"1";"1";"0";0;1;1;1;"0";0;"";"X";"X";"X";"X";"X";"raus_leer"
"44";"W4405890621";"Cogent Education";2024;"osf.io/5mqgp";NA;TRUE;FALSE;TRUE;"osf.io/5mqgp";NA;NA;"Almeida, J. P. L. de; Anjos, F. H. dos; Moreira, M. F.; Bermejo, P. H. de S.; Prata, D. N.; Rodrigues, W.";"University efficiency evaluation using data envelopment analysis: future research agenda";"Higher education institution; efficiency; data envelopment analysis; future research";"0";"0";"0";0;"0";"0";"0";"0";0;0;0;0;"1";1;"";"X";"X";"X";"X";"X";"raus_leer"
"45";"W4388458062";"Frontiers in Education";2023;"OSF.IO/YJTA3";NA;TRUE;FALSE;TRUE;"osf.io/yjta3";NA;NA;"Karali, N.; Mastrokoukou, S.; Livas, C.";"Mindful minds and entrepreneurial spirits in higher education: a scoping review";"higher education; mindfulness; learning process approaches; teacher effectiveness; entrepreneurial intention";"0";"0";"0";0;"0";"";"0";"0";0;0;0;0;"1";1;"";"X";"X";"X";"X";"X";"raus_leer"
"46";"W4413264680";"Education Sciences";2025;"osf.io/hu4ex";NA;TRUE;FALSE;TRUE;"osf.io/hu4ex";NA;NA;"Wood, H. C.; Detyna, M.; Dommett, E. J.";"Assessing and Understanding Educators’ Experiences of Synchronous Hybrid Learning in Universities: A Systematic Review";"blended; online; university; faculty";"1";"0";"0";0;"1";"0";"0";"0";0;0;0;0;"1";1;"";"X";"X";"X";"X";"X";"raus_leer"
