;openalex_id;journal_id;journal_name;publication_year;has_osf;has_git;doi;country;author;title;keywords;method_quali;open_answers;interview;observation;documents;method_quanti;one_m;multiple_m;quasiexperiment;experiment;intervention;primary_data;secondary_data;review;method_other;open_data;open_code;open_material;open_analysis;prerig;notes2;study_type;
41;W3153069046;S4210191100;Frontline Learning Research;2021;FALSE;TRUE;https://doi.org/10.14786/flr.v9i2.675;UK;"Balloo, K.; Winstone, N. E.";A primer on gathering and analysing multi-level quantitative evidence for differential student outcomes in higher education;"diversity; transitions; attainment gaps; continuation gaps; micro, meso and macro level";0;0;0;0;0;1;1;0;0;0;0;0;0;0;methodical;0;1;0;0;NA;software;quantitative;
42;W4416596593;S2764918247;Cogent Education;2025;FALSE;TRUE;https://doi.org/10.1080/2331186x.2025.2590901;UK;"Rahmanian, M.; Sami, A.; Yu, Y.";Challenges and feasibility of multimodal LLMs in ER diagram evaluation;"Entity-relationship diagrams; diagram evaluation; automated assessment; chain-of-thought; multimodal large language models";0;0;0;0;0;1;1;0;0;1;1;1;0;0;NA;1;0;1;0;NA;study_material;quantitative;
48;W4401910226;S2738008561;Education Sciences;2024;TRUE;FALSE;https://doi.org/10.3390/educsci14090939;UK;"Grozev, V. H.; Easterbrook, M. J.";Can Social Identities Improve Working Students Academic and Social Outcomes? Lessons from Three Studies;"social identity; working students; academic achievement; approaches to learning; academic self-efficacy";0;0;0;0;0;1;1;0;0;0;0;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
49;W4388634757;S2738008561;Education Sciences;2023;FALSE;TRUE;https://doi.org/10.3390/educsci13111130;UK;"Zhang, C.; Ahn, H.";E-Learning at-Risk Group Prediction Considering the Semester and Realistic Factors;"at-risk prediction; dropout prediction; OULAD; voting classifier; SHAP";0;0;0;0;0;1;0;1;0;0;0;0;1;0;NA;1;1;0;0;NA;NA;quantitative;
50;W4408158809;S2596526815;Frontiers in Education;2025;TRUE;FALSE;https://doi.org/10.3389/feduc.2025.1463619;Switzerland;"Benz, R.; Ackermann, T.";Disadvantaged by chance? Examining the persistence of relative age effects on educational achievement;"relative age effect; school starting age; cumulative (dis)advantage; education; Switzerland; data linkage";0;0;0;0;0;1;0;1;1;0;0;0;1;0;NA;1;1;0;0;NA;NA;quantitative;
51;W4280562791;S4210201537;International Journal of Educational Technology in Higher Education;2022;TRUE;FALSE;https://doi.org/10.1186/s41239-022-00329-7;Switzerland;"Buchner, J.; Hofmann, M.";The more the better? Comparing two SQD-based learning designs in a teacher training on augmented and virtual reality;"WillSkillTool model; Teacher education; Teacher training; SQD model; Augmented reality; Virtual reality; Learning design; Learning events";0;0;0;0;0;1;1;0;1;0;1;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
52;W4417277946;S2738008561;Education Sciences;2025;TRUE;FALSE;https://doi.org/10.3390/educsci15121678;Sweden;"Lindstrm-Sandahl, H.; Danielsson, H.; Elwr, .; Samuelsson, J.; Samuelsson, S.";One-Year Follow-Up of Two Intensive Supplemental Reading and Mathematics Programs in Swedish Elementary School;"follow-up; longitudinal; phonics; mathematics; randomized controlled studies; intervention; special education";0;0;0;0;0;1;0;1;0;1;1;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
53;W4411131429;S2596526815;Frontiers in Education;2025;TRUE;FALSE;https://doi.org/10.3389/feduc.2025.1570973;Spain;"Rodrguez-Fragoso, J.; Moya-Faz, F. J.; Horyza, A.; Ruiz-Ruano Garca, A. M.; Garcs de los Fayos-Ruiz, E. J.; Lpez-Lpez, R.; Lpez Puga, J.; Vidal-Alves, M. J.";Occupational health in the educational context: a descriptive and correlational study;"school; teacher; psychological distress; disorder; work";0;0;0;0;0;1;1;0;0;0;0;1;0;0;NA;1;1;1;0;NA;NA;quantitative;
54;W4360619301;S2596526815;Frontiers in Education;2023;TRUE;FALSE;https://doi.org/10.3389/feduc.2023.1141620;Spain;"Quintana-Ordorika, A.; Camino-Esturo, E.; Portillo-Berasaluce, J.; Garay-Ruiz, U.";Integrating COIL in teacher training: An estimation of learners motivational attitudes;"learners motivation; teacher training education; international education; ARCS; IMMS";0;0;0;0;0;1;1;0;1;0;1;1;0;0;NA;NA;NA;NA;NA;1;not_open;quantitative;
55;W4415956526;S2738008561;Education Sciences;2025;TRUE;FALSE;https://doi.org/10.3390/educsci15111500;Spain;"Pablo-Lerchundi, I.; Sastre-Merino, S.; Riquelme-Dominguez, J. M.; Mahtani, K.; Mendona, H.";Gamifying Renewable Energy: Enhancing Pre-University Students Knowledge and Attitudes Toward Science and Technology;"escape room; science and technology (S&T); science, technology, engineering, and mathematics (STEM); sustainability education";0;0;0;0;0;1;0;1;0;0;1;1;0;0;NA;1;0;1;0;NA;fragebogen;quantitative;
56;W4386837702;S2738008561;Education Sciences;2023;TRUE;FALSE;https://doi.org/10.3390/educsci13090943;Southeast Asia;"Tsukawaki, R.; Maki, T.; Omori, M.";Multidimensional Psychometrics of Teacher Educators Professional Identity: An Initial Validation with Teacher Educators in Southeast Asia;"professional identity; teacher educators; psychometrics; Southeast Asia; confirmatory factor analysis";0;0;0;0;0;1;1;0;0;0;0;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
